year,age,Nb H1N1,Nb H3N2,Nb A
2009,0-4,2871,198,1714
2009,5-9,3249,167,2051
2009,10-14,3396,197,2146
2009,15-19,3559,98,1851
2009,20-24,3209,97,1406
2009,25-29,2821,80,1257
2009,30-34,1820,113,993
2009,35-39,1691,103,974
2009,40-44,1454,78,784
2009,45-49,1474,68,676
2009,50-54,1391,68,648
2009,55-59,823,54,452
2009,60-64,450,46,307
2009,65-69,209,42,219
2009,70-74,149,35,159
2009,75-79,106,25,145
2009,80-84,69,14,98
2009,85-89,51,20,112
2010,0-4,194,6,69
2010,5-9,186,7,46
2010,10-14,133,4,51
2010,15-19,133,3,57
2010,20-24,130,4,41
2010,25-29,176,3,67
2010,30-34,119,4,59
2010,35-39,113,10,72
2010,40-44,84,9,54
2010,45-49,86,4,55
2010,50-54,85,5,50
2010,55-59,66,6,63
2010,60-64,30,4,40
2010,65-69,8,4,33
2010,70-74,6,1,35
2010,75-79,3,2,32
2010,80-84,7,4,19
2010,85-89,2,2,14
2011,0-4,903,156,623
2011,5-9,457,70,477
2011,10-14,267,33,331
2011,15-19,279,16,304
2011,20-24,346,25,282
2011,25-29,460,30,317
2011,30-34,408,42,328
2011,35-39,347,53,301
2011,40-44,299,30,284
2011,45-49,247,17,231
2011,50-54,243,10,224
2011,55-59,179,14,198
2011,60-64,132,25,181
2011,65-69,46,17,107
2011,70-74,36,20,114
2011,75-79,20,10,82
2011,80-84,11,15,63
2011,85-89,10,21,57
2012,0-4,33,949,3038
2012,5-9,7,475,1885
2012,10-14,7,205,892
2012,15-19,7,203,941
2012,20-24,13,227,849
2012,25-29,12,277,1015
2012,30-34,12,337,1260
2012,35-39,10,373,1383
2012,40-44,7,324,1183
2012,45-49,6,247,897
2012,50-54,9,266,833
2012,55-59,10,222,805
2012,60-64,8,242,803
2012,65-69,3,189,684
2012,70-74,1,204,592
2012,75-79,4,236,625
2012,80-84,,211,573
2012,85-89,2,324,748
2013,0-4,309,90,519
2013,5-9,125,51,250
2013,10-14,50,23,129
2013,15-19,64,28,146
2013,20-24,97,25,214
2013,25-29,120,32,230
2013,30-34,204,32,319
2013,35-39,165,36,318
2013,40-44,142,24,261
2013,45-49,117,29,236
2013,50-54,100,29,224
2013,55-59,91,24,229
2013,60-64,77,15,171
2013,65-69,44,20,162
2013,70-74,28,22,92
2013,75-79,26,28,82
2013,80-84,20,23,66
2013,85-89,10,33,70
2014,0-4,862,472,4070
2014,5-9,364,276,2556
2014,10-14,167,158,1354
2014,15-19,175,168,1410
2014,20-24,214,163,1313
2014,25-29,248,210,1642
2014,30-34,345,248,2072
2014,35-39,327,236,2150
2014,40-44,303,205,2038
2014,45-49,273,170,1641
2014,50-54,274,164,1450
2014,55-59,263,137,1435
2014,60-64,194,155,1298
2014,65-69,167,145,1062
2014,70-74,84,130,758
2014,75-79,80,170,700
2014,80-84,48,195,663
2014,85-89,36,333,875
2015,0-4,224,199,1453
2015,5-9,108,195,1067
2015,10-14,43,231,826
2015,15-19,47,173,744
2015,20-24,41,118,593
2015,25-29,48,122,724
2015,30-34,68,129,725
2015,35-39,88,164,745
2015,40-44,66,124,747
2015,45-49,53,128,685
2015,50-54,30,115,618
2015,55-59,44,95,597
2015,60-64,33,134,611
2015,65-69,19,105,528
2015,70-74,17,111,468
2015,75-79,11,108,496
2015,80-84,6,118,493
2015,85-89,8,253,728
2016,0-4,529,359,2251
2016,5-9,332,378,1891
2016,10-14,94,358,1521
2016,15-19,70,379,1697
2016,20-24,92,232,1158
2016,25-29,108,245,1228
2016,30-34,159,259,1382
2016,35-39,223,227,1316
2016,40-44,160,227,1132
2016,45-49,136,215,1176
2016,50-54,106,250,1119
2016,55-59,86,220,1133
2016,60-64,63,208,1003
2016,65-69,51,215,919
2016,70-74,33,224,782
2016,75-79,29,224,819
2016,80-84,13,239,740
2016,85-89,19,577,1362
2017,0-4,477,589,11020
2017,5-9,329,388,8523
2017,10-14,85,261,5044
2017,15-19,54,284,4835
2017,20-24,62,298,4201
2017,25-29,105,261,4105
2017,30-34,123,298,5362
2017,35-39,170,281,5269
2017,40-44,139,268,4604
2017,45-49,122,275,4560
2017,50-54,108,289,4349
2017,55-59,89,334,4705
2017,60-64,79,350,4465
2017,65-69,66,370,3999
2017,70-74,47,378,3670
2017,75-79,23,470,3578
2017,80-84,29,527,3531
2017,85-89,23,745,6370
